Symbol,Date,Close,industry
GOOG,2012-09-04,339.248413,Technology
GOOG,2012-09-05,339.08902,Technology
GOOG,2012-09-06,348.394135,Technology
GOOG,2012-09-07,351.756531,Technology
GOOG,2012-09-10,349.076569,Technology
GOOG,2012-09-11,344.802582,Technology
GOOG,2012-09-12,344.150055,Technology
GOOG,2012-09-13,351.701721,Technology
GOOG,2012-09-14,353.514954,Technology
GOOG,2012-09-17,353.664368,Technology
GOOG,2012-09-18,357.798889,Technology
GOOG,2012-09-19,362.391663,Technology
GOOG,2012-09-20,362.7005,Technology
GOOG,2012-09-21,365.624542,Technology
GOOG,2012-09-24,373.290802,Technology
GOOG,2012-09-25,373.181213,Technology
GOOG,2012-09-26,375.323212,Technology
GOOG,2012-09-27,376.837524,Technology
GOOG,2012-09-28,375.841248,Technology
GOOG,2012-10-01,379.467651,Technology
GOOG,2012-10-02,377.081604,Technology
GOOG,2012-10-03,379.826324,Technology
GOOG,2012-10-04,382.590942,Technology
GOOG,2012-10-05,382.391693,Technology
GOOG,2012-10-08,377.505005,Technology
GOOG,2012-10-09,370.655701,Technology
GOOG,2012-10-10,370.889801,Technology
GOOG,2012-10-11,374.336884,Technology
GOOG,2012-10-12,370.984467,Technology
GOOG,2012-10-15,369.106506,Technology
GOOG,2012-10-16,370.959564,Technology
GOOG,2012-10-17,376.334412,Technology
GOOG,2012-10-18,346.202362,Technology
GOOG,2012-10-19,339.622009,Technology
GOOG,2012-10-22,338.067841,Technology
GOOG,2012-10-23,338.904694,Technology
GOOG,2012-10-24,337.385406,Technology
GOOG,2012-10-25,337.614532,Technology
GOOG,2012-10-26,336.314423,Technology
GOOG,2012-10-31,338.879791,Technology
GOOG,2012-11-01,342.511169,Technology
GOOG,2012-11-02,342.675568,Technology
GOOG,2012-11-05,340.204834,Technology
GOOG,2012-11-06,339.587158,Technology
GOOG,2012-11-07,332.314392,Technology
GOOG,2012-11-08,324.927094,Technology
GOOG,2012-11-09,330.277039,Technology
GOOG,2012-11-12,331.706696,Technology
GOOG,2012-11-13,328.294464,Technology
GOOG,2012-11-14,325.05661,Technology
GOOG,2012-11-15,322.421478,Technology
GOOG,2012-11-16,322.381622,Technology
GOOG,2012-11-19,332.857361,Technology
GOOG,2012-11-20,333.73407,Technology
GOOG,2012-11-21,331.691742,Technology
GOOG,2012-11-23,332.737823,Technology
GOOG,2012-11-26,329.340546,Technology
GOOG,2012-11-27,334.102692,Technology
GOOG,2012-11-28,340.558502,Technology
GOOG,2012-11-29,344.653168,Technology
GOOG,2012-11-30,347.881042,Technology
GOOG,2012-12-03,346.326874,Technology
GOOG,2012-12-04,344.224762,Technology
GOOG,2012-12-05,342.625763,Technology
GOOG,2012-12-06,344.274567,Technology
GOOG,2012-12-07,340.827484,Technology
GOOG,2012-12-10,341.430237,Technology
GOOG,2012-12-11,347.138824,Technology
GOOG,2012-12-12,347.47757,Technology
GOOG,2012-12-13,350.037964,Technology
GOOG,2012-12-14,349.669342,Technology
GOOG,2012-12-17,359.04422,Technology
GOOG,2012-12-18,359.18866,Technology
GOOG,2012-12-19,358.71048,Technology
GOOG,2012-12-20,359.831268,Technology
GOOG,2012-12-21,356.478821,Technology
GOOG,2012-12-24,353.425262,Technology
GOOG,2012-12-26,353.11145,Technology
GOOG,2012-12-27,351.826263,Technology
GOOG,2012-12-28,348.697998,Technology
GOOG,2012-12-31,352.369232,Technology
GOOG,2013-01-02,360.274597,Technology
GOOG,2013-01-03,360.483826,Technology
GOOG,2013-01-04,367.607117,Technology
GOOG,2013-01-07,366.003143,Technology
GOOG,2013-01-08,365.280823,Technology
GOOG,2013-01-09,367.681824,Technology
GOOG,2013-01-10,369.35556,Technology
GOOG,2013-01-11,368.613342,Technology
GOOG,2013-01-14,360.274597,Technology
GOOG,2013-01-15,361.111481,Technology
GOOG,2013-01-16,356.259644,Technology
GOOG,2013-01-17,354.331879,Technology
GOOG,2013-01-18,350.939606,Technology
GOOG,2013-01-22,350.12265,Technology
GOOG,2013-01-23,369.36554,Technology
GOOG,2013-01-24,375.696808,Technology
GOOG,2013-01-25,375.427795,Technology
GOOG,2013-01-28,373.963287,Technology
GOOG,2013-01-29,375.4328,Technology
GOOG,2013-01-30,375.507507,Technology
GOOG,2013-01-31,376.434021,Technology
GOOG,2013-02-01,386.351868,Technology
GOOG,2013-02-04,378.092804,Technology
GOOG,2013-02-05,381.440277,Technology
GOOG,2013-02-06,383.647003,Technology
GOOG,2013-02-07,385.529938,Technology
GOOG,2013-02-08,391.218628,Technology
GOOG,2013-02-11,389.749115,Technology
GOOG,2013-02-12,388.892334,Technology
GOOG,2013-02-13,389.968292,Technology
GOOG,2013-02-14,392.439056,Technology
GOOG,2013-02-15,394.964569,Technology
GOOG,2013-02-19,401.918518,Technology
GOOG,2013-02-20,394.750366,Technology
GOOG,2013-02-21,396.279633,Technology
GOOG,2013-02-22,398.361847,Technology
GOOG,2013-02-25,393.908539,Technology
GOOG,2013-02-26,393.589722,Technology
GOOG,2013-02-27,398.396698,Technology
GOOG,2013-02-28,399.104065,Technology
GOOG,2013-03-01,401.589752,Technology
GOOG,2013-03-04,409.216156,Technology
GOOG,2013-03-05,417.734222,Technology
GOOG,2013-03-06,414.137695,Technology
GOOG,2013-03-07,414.745422,Technology
GOOG,2013-03-08,414.207458,Technology
GOOG,2013-03-11,415.851288,Technology
GOOG,2013-03-12,412.259735,Technology
GOOG,2013-03-13,411.114044,Technology
GOOG,2013-03-14,409.236084,Technology
GOOG,2013-03-15,405.629608,Technology
GOOG,2013-03-18,402.386749,Technology
GOOG,2013-03-19,404.145172,Technology
GOOG,2013-03-20,405.833832,Technology
GOOG,2013-03-21,404.115265,Technology
GOOG,2013-03-22,403.642059,Technology
GOOG,2013-03-25,403.308289,Technology
GOOG,2013-03-26,404.693115,Technology
GOOG,2013-03-27,399.831329,Technology
GOOG,2013-03-28,395.612152,Technology
GOOG,2013-04-01,399.099091,Technology
GOOG,2013-04-02,405.001953,Technology
GOOG,2013-04-03,401.594727,Technology
GOOG,2013-04-04,396.050507,Technology
GOOG,2013-04-05,390.062958,Technology
GOOG,2013-04-08,385.978271,Technology
GOOG,2013-04-09,387.373016,Technology
GOOG,2013-04-10,393.614624,Technology
GOOG,2013-04-11,393.719238,Technology
GOOG,2013-04-12,393.549866,Technology
GOOG,2013-04-15,389.505035,Technology
GOOG,2013-04-16,395.203674,Technology
GOOG,2013-04-17,389.818878,Technology
GOOG,2013-04-18,381.524963,Technology
GOOG,2013-04-19,398.441528,Technology
GOOG,2013-04-22,398.561096,Technology
